,Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,Location Info,Retweets,Favorites,Language,Source,Subjectivity,Polarity
34,  _app @_leo10hd  tal vez así la compras,2021-09-15 05:23:05,1438010463015555072,bnsho10,"Tegucigalpa, Honduras",0,0,es,Twitter for iPhone,0.0,0.0
35, _app Mas vale ke no hay ningun jugador que c llame hugo xke seria problema jaja,2021-09-15 04:58:21,1438004235673776128,marcosandino22,,0,0,es,Twitter for Android,0.0,0.0
36,": ¡Hola _app! 👋🏼👋🏼Bienvenidos a la familia más grande de Honduras, bienvenidos a la NaciónOlimpista. 🦁 ",2021-09-15 04:35:18,1437998437883068420,Sixto_Aguero7,Honduras,13,0,es,Twitter for Android,0.0,0.0
37,": En NaciónOlimpistaRadio se dió a conocer los detalles de la firma del contrato entre _app y 
 
1.🚴🏻‍♀️…",2021-09-15 04:33:08,1437997890186760195,Edwinatorres01,Tegucigalpa Honduras,12,0,es,Twitter for Android,0.0,0.0
38,": En NaciónOlimpistaRadio se dió a conocer los detalles de la firma del contrato entre _app y 
 
1.🚴🏻‍♀️…",2021-09-15 04:18:10,1437994125584965634,aliskander81,,12,0,es,Twitter for iPhone,0.0,0.0
39,_app Por que en ingles?,2021-09-15 03:50:12,1437987087865860099,gavelar22,El Salvador,0,1,es,Twitter for iPhone,0.0,0.0
40,"_Villeda  _app Excelente fichaje, ayuda mucho un patrocinio en la pandemia que aún sigue, felicidades presi!",2021-09-15 03:34:00,1437983010067030017,JulioCMoreno14,Spirit In The Sky,0,0,es,Twitter Web App,0.0,0.0
41,": En NaciónOlimpistaRadio se dió a conocer los detalles de la firma del contrato entre _app y 
 
1.🚴🏻‍♀️…",2021-09-15 02:39:20,1437969253567696900,195Cesar,,12,0,es,Twitter for iPhone,0.0,0.0
42,¿Alguien sabe que le pasa a _app? Llevo más de 1 hora esperando una orden y soy el 150° en la fila en atención al cliente 😔,2021-09-15 02:38:55,1437969145279225857,progre4life,In my head,0,1,es,Twitter for Android,0.0,0.0
43,": ¡Bienvenido Hugo! 🤝_app

Esta mañana firmamos la alianza comercial con nuestro nuevo patrocinador Hugo en las instalaci…",2021-09-15 02:15:08,1437963160447819783,_Olimpistahn,Honduras ,28,0,es,Twitter for Android,0.0,0.0
44,"_app espero que por aqui me envian la carta que mi banco les solicito para que me reintegren los intereses de mi tarjeta, ya que me ha tocado ir a buscarlos a sus oficinas para ello. Acaso debo notificarle al banco que ustedes ni eso quieren hacer? _910",2021-09-15 01:27:22,1437951140314898435,Lilypop___,"San Salvador, El Salvador",0,0,es,Twitter for iPhone,0.0,0.0
45,Estoy así 👌🏼 de borrar _app,2021-09-15 01:26:47,1437950992960602114,TaniaMaguilar,,0,0,es,Twitter for iPhone,0.0,0.0
46, _app  Me pueden aclarar el punto 2 ? Ósea que ya no se venderían boletos por Tengo ? Para partidos de local ? 😅,2021-09-15 00:51:10,1437942031205212164,AJLG10,Honduras ,0,1,es,Twitter for iPhone,0.0,0.0
47,: ¡YA! ¡YA! Conocé todos los detalles de la firma entre _app y  en NaciónOlimpistaRadio totalmente en vi…,2021-09-15 00:50:04,1437941753147973642,JulioCMoreno14,Spirit In The Sky,4,0,es,Twitter for Android,0.0,0.0
48,": En NaciónOlimpistaRadio se dió a conocer los detalles de la firma del contrato entre _app y 
 
1.🚴🏻‍♀️…",2021-09-15 00:50:01,1437941742037241861,JulioCMoreno14,Spirit In The Sky,12,0,es,Twitter for Android,0.0,0.0
